,Source,Target
0,69981824,92315957
1,69981824,4283975
2,69981824,19484267
3,69981824,23678465
4,69981824,48140545
5,69981824,18280286
6,69981824,78774699
7,69981824,86243864
8,69981824,69643246
9,69981824,31218046
10,69981824,15397628
11,69981824,40645490
12,69981824,50359672
13,69981824,4807791
14,69981824,48450401
15,69981824,10406840
16,69981824,88575158
17,69981824,29783768
18,69981824,97991931
19,69981824,17659207
20,69981824,34897425
21,69981824,45644824
22,69981824,53153972
23,69981824,79010184
24,69981824,64087332
25,69981824,75306512
26,69981824,79093263
27,69981824,41736405
28,69981824,91483153
29,69981824,31119322
30,69981824,19222084
31,69981824,19478963
32,69981824,82270181
33,69981824,26925002
34,69981824,16285303
35,80743067,8221036
36,80743067,8758213
37,80743067,90835289
38,80743067,76674644
39,80743067,99646329
40,80743067,56691508
41,80743067,37155150
42,80743067,50959750
43,80743067,42181255
44,80743067,65563559
45,80743067,72086162
46,80743067,67986018
47,80743067,87702201
48,80743067,80905035
49,80743067,80488964
50,80743067,66973916
51,80743067,64401818
52,80743067,46702911
53,80743067,49710136
54,80743067,9407199
55,80743067,8638722
56,80743067,44274863
57,80743067,397469
58,80743067,16952445
59,80743067,38498281
60,80743067,91335221
61,80743067,36001972
62,80743067,55883437
63,80743067,72867666
64,80743067,67180750
65,80743067,4094598
66,80743067,33196762
67,80743067,38945681
68,80743067,76444417
69,80743067,79631282
70,80743067,31930342
71,80743067,81173733
72,80743067,46152927
73,80743067,84991518
74,80743067,93157494
75,80743067,36433875
76,80743067,38336035
77,80743067,78282627
78,80743067,38319764
79,80743067,88235159
80,80743067,87695476
81,80743067,32400017
82,80743067,90282589
83,80743067,44788957
84,80743067,49931949
85,80743067,74403302
86,80743067,2854725
87,80743067,33892940
88,80743067,27349926
89,80743067,34679347
90,80743067,10686247
91,80743067,20776269
92,80743067,19055153
93,80743067,11677512
94,80743067,5373689
95,80743067,16562225
96,80743067,84135521
97,80743067,53593251
98,80743067,51862687
99,80743067,96248616
100,80743067,57908807
101,80743067,91228991
102,80743067,27607858
103,80743067,48042080
104,80743067,31583070
105,80743067,27621953
106,80743067,70939812
107,80743067,70850932
108,80743067,99719844
109,80743067,51816154
110,80743067,31881813
111,80743067,97041272
112,80743067,52196455
113,80743067,77655481
114,80743067,69036074
115,80743067,15568418
116,80743067,50596832
117,80743067,24984052
118,80743067,71853222
119,80743067,33594604
120,80743067,55460609
121,80743067,60878575
122,80743067,17574429
123,80743067,54771889
124,80743067,88339593
125,80743067,27276208
126,80743067,40488793
127,80743067,94675255
128,80743067,3349064
129,80743067,81350361
130,80743067,94831774
131,80743067,15248360
132,80743067,4680012
133,80743067,69997209
134,80743067,53608128
135,80743067,80713284
136,80743067,54440747
137,80743067,55001299
138,80743067,53861826
139,80743067,63882926
140,80743067,85438800
141,80743067,8047453
142,80743067,12414199
143,80743067,18260458
144,80743067,666480
145,80743067,44020775
146,80743067,79533550
147,80743067,48767039
148,80743067,86648771
149,80743067,54836845
150,80743067,86908736
151,80743067,93315173
152,80743067,71857532
153,80743067,42301117
154,80743067,46355035
155,80743067,70786526
156,80743067,6886307
157,80743067,34913002
158,80743067,44471104
159,80743067,98968529
160,80743067,39108544
161,80743067,91230582
162,80743067,65574856
163,80743067,48562660
164,80743067,22146330
165,80743067,52324058
166,80743067,47048898
167,80743067,95906778
168,80743067,40712693
169,80743067,36042389
170,80743067,74713569
171,80743067,28919862
172,80743067,25355116
173,80743067,99380182
174,80743067,83592462
175,80743067,98995618
176,80743067,67359382
177,80743067,18892165
178,80743067,23703793
179,80743067,88600682
180,80743067,72956457
181,80743067,33522617
182,80743067,41984789
183,80743067,63942811
184,80743067,58929170
185,80743067,63692058
186,80743067,19576648
187,80743067,21993014
188,80743067,34754023
189,80743067,47339807
190,80743067,72601119
191,80743067,10151804
192,80743067,48228354
193,80743067,78641186
194,80743067,25836431
195,80743067,33998456
196,80743067,97418969
197,80743067,60940648
198,80743067,44086324
199,67492805,63959120
200,67492805,35156202
201,67492805,19164255
202,67492805,1764853
203,67492805,84218271
204,67492805,19464990
205,67492805,57640660
206,67492805,30415109
207,67492805,6460271
208,67492805,98978397
209,67492805,16808369
210,67492805,82791918
211,67492805,85683406
212,67492805,78801759
213,67492805,82574340
214,67492805,5030783
215,67492805,53269126
216,67492805,74517266
217,67492805,86829606
218,67492805,38281313
219,67492805,53339029
220,67492805,87772097
221,67492805,61642062
222,67492805,66132317
223,67492805,76837723
224,67492805,82269805
225,67492805,61225048
226,67492805,93410467
227,67492805,70725575
228,67492805,11608403
229,67492805,60437786
230,67492805,34004896
231,67492805,35321071
232,67492805,47323812
233,67492805,85273047
234,67492805,21059189
235,67492805,90526570
236,67492805,14799773
237,67492805,87699156
238,67492805,93538928
239,67492805,49991498
240,67492805,61575928
241,67492805,16368427
242,67492805,66108553
243,67492805,27652285
244,67492805,36744590
245,67492805,9203740
246,67492805,19712597
247,67492805,84275152
248,67492805,99549188
249,67492805,13385351
250,67492805,17172667
251,67492805,11117139
252,67492805,9672186
253,67492805,65190670
254,67492805,98517749
255,67492805,16028731
256,67492805,44086324
257,67492805,30544154
258,67492805,89790941
259,67492805,60435246
260,67492805,59605694
261,67492805,44336261
262,67492805,91271441
263,67492805,9324700
264,67492805,5890521
265,67492805,81671327
266,67492805,37058121
267,67492805,25142134
268,67492805,22492412
269,67492805,76225507
270,67492805,32908439
271,67492805,60053803
272,67492805,76755506
273,67492805,78399322
274,67492805,4480660
275,67492805,63703301
276,67492805,46589969
277,67492805,47765007
278,67492805,99824425
279,67492805,75076493
280,67492805,70424086
281,60935810,29225794
282,60935810,9672186
283,60935810,63602301
284,60935810,76122636
285,60935810,44150562
286,60935810,77470294
287,60935810,73103748
288,60935810,11965467
289,60935810,25528258
290,60935810,72872007
291,60935810,81743899
292,60935810,45830653
293,60935810,16864477
294,60935810,6475493
295,60935810,59018331
296,60935810,14333780
297,60935810,76232190
298,60935810,7648435
299,60935810,20187338
300,60935810,80240083
301,60935810,55640177
302,60935810,93814258
303,60935810,470105
304,60935810,26512005
305,60935810,91483153
306,60935810,46589969
307,60935810,50229938
308,60935810,29355730
309,60935810,60435246
310,60935810,92123499
311,60935810,5802822
312,60935810,27188370
313,60935810,26688911
314,60935810,36776754
315,60935810,6099498
316,60935810,18717792
317,60935810,56661066
318,60935810,79871743
319,60935810,11117139
320,60935810,10653383
321,60935810,2010754
322,60935810,99896321
323,60935810,84170406
324,60935810,93558275
325,60935810,69915081
326,60935810,78233261
327,60935810,57640660
328,60935810,25266509
329,70989011,97854907
330,70989011,1847022
331,70989011,49437730
332,70989011,76310414
333,70989011,80616608
334,70989011,40744204
335,70989011,6419047
336,70989011,11078258
337,70989011,4619342
338,70989011,53532835
339,70989011,53532835
340,70989011,94049838
341,70989011,21453194
342,70989011,21453194
343,70989011,20748135
344,70989011,55945302
345,70989011,3836976
346,70989011,60621990
347,70989011,92735450
348,70989011,92735450
349,70989011,79361927
350,70989011,14077585
351,70989011,28542422
352,70989011,17555260
353,70989011,98221501
354,70989011,21823595
355,70989011,26407927
356,70989011,26407927
357,70989011,54302873
358,70989011,30481818
359,70989011,30481818
360,70989011,10043138
361,70989011,10043138
362,70989011,88206326
363,70989011,72091109
364,70989011,10720837
365,70989011,92732889
366,70989011,65037408
367,70989011,54808264
368,70989011,54049103
369,70989011,54049103
370,70989011,73314430
371,70989011,58956726
372,70989011,63180703
373,70989011,63180703
374,70989011,91147977
375,70989011,25733192
376,70989011,12455568
377,70989011,66956582
378,70989011,63654585
379,70989011,59018331
380,70989011,30934720
381,70989011,33805681
382,70989011,33717744
383,70989011,82601227
384,70989011,9279765
385,70989011,48408408
386,70989011,66369247
387,70989011,84483801
388,70989011,84483801
389,70989011,36166561
390,70989011,54041380
391,70989011,23797121
392,70989011,23797121
393,70989011,2705932
394,70989011,63451680
395,70989011,26515028
396,70989011,78182677
397,70989011,43579776
398,70989011,93353082
399,70989011,91707808
400,70989011,97348119
401,70989011,64964214
402,70989011,70343947
403,70989011,8644144
404,70989011,99530277
405,70989011,23720509
406,70989011,14066445
407,70989011,88502812
408,70989011,46482830
409,70989011,28124460
410,70989011,30274868
411,70989011,30274868
412,70989011,18216597
413,70989011,34946268
414,70989011,38089992
415,70989011,26458665
416,70989011,42904448
417,70989011,66400619
418,70989011,73635656
419,70989011,39279486
420,70989011,97135588
421,70989011,25077778
422,70989011,98348295
423,70989011,46973187
424,70989011,38675272
425,70989011,18726496
426,70989011,2653730
427,70989011,2653730
428,70989011,14327595
429,70989011,46589969
430,70989011,60582197
431,70989011,21505052
432,70989011,91483153
433,70989011,67715540
434,70989011,97606807
435,70989011,72568439
436,70989011,26972780
437,70989011,11068238
438,70989011,26125946
439,70989011,74198527
440,70989011,33796719
441,70989011,32273063
442,70989011,34437069
443,70989011,38654097
444,70989011,22169148
445,70989011,70497711
446,70989011,37070761
447,70989011,43218644
448,70989011,85608983
449,70989011,73379816
450,70989011,27253269
451,70989011,36665938
452,74886327,42773759
453,74886327,20055119
454,74886327,31985274
455,74886327,23529814
456,74886327,55016564
457,74886327,56720691
458,74886327,35849359
459,74886327,45362411
