Source,Target
37239344,77265803
37239344,44011473
37239344,68743252
37239344,2419276
37239344,12283981
37239344,553862
37239344,2248658
37239344,94410159
37239344,45184076
37239344,75377121
37239344,25185662
37239344,72339152
37239344,58925172
37239344,39406935
37239344,91448428
37239344,60259171
37239344,87077639
37239344,11426547
37239344,98689751
37239344,13212432
37239344,17854430
37239344,73156400
37239344,4123729
37239344,45698998
37239344,9471298
37239344,15518963
37239344,64136544
37239344,88952744
37239344,42491943
37239344,54228669
37239344,35888469
37239344,65616381
37239344,17921828
37239344,83053021
37239344,20900086
37239344,5048579
37239344,21823125
37239344,70256877
37239344,37447699
37239344,1098404
37239344,88823483
37239344,88727691
37239344,67977273
37239344,89468360
37239344,88733280
37239344,72892210
37239344,94631963
37239344,99465562
37239344,29639201
37239344,66863442
37239344,40057866
37239344,21706315
37239344,49142105
37239344,77571385
37239344,23993973
37239344,71019602
37239344,32992720
37239344,5696578
37239344,49201420
37239344,42474351
37239344,61667392
37239344,98130990
37239344,16364962
37239344,78822744
37239344,87739402
37239344,51298563
37239344,27854778
37239344,18335802
37239344,33001864
37239344,31121687
37239344,55476140
37239344,57219229
37239344,62558679
37239344,64672137
37239344,56169626
37239344,90003481
37239344,43147091
37239344,88669017
37239344,10761255
37239344,1321268
37239344,58370241
37239344,68109973
37239344,10174800
37239344,83577194
37239344,41973903
37239344,83774792
37239344,25571361
37239344,77259708
37239344,62718080
37239344,58954409
37239344,1284258
37239344,98164852
37239344,7536831
37239344,57867913
37239344,94245369
37239344,75310218
37239344,45456600
37239344,93952310
37239344,64608925
37239344,54473523
37239344,47675360
37239344,71977500
37239344,72340642
37239344,60107999
37239344,4474160
37239344,91026340
37239344,30052804
37239344,43513252
37239344,9240479
37239344,6652165
37239344,64786038
37239344,86542602
37239344,35626867
37239344,5553399
37239344,50405927
37239344,79039826
37239344,46837631
37239344,22504889
37239344,19030306
37239344,45427795
37239344,82467392
37239344,41503202
37239344,98199949
37239344,54389431
37239344,74971123
37239344,94467599
37239344,13625309
37239344,27899483
37239344,52920009
37239344,1607909
37239344,45100497
37239344,20112854
37239344,93161558
37239344,85021867
37239344,20951579
37239344,14676777
37239344,95887932
37239344,78899196
37239344,77449042
37239344,33072525
37239344,54284437
37239344,35810016
37239344,9909613
37239344,31064027
37239344,91888127
37239344,18015201
37239344,62544841
37239344,63206875
37239344,75328354
37239344,29994255
37239344,51426593
37239344,20695556
37239344,32598040
37239344,32015309
37239344,9508841
37239344,41421887
37239344,59946194
37239344,61676952
37239344,8075985
37239344,25175810
