Name,Username
Alexander Lange,
Alexander Trommen,
Amira Tröger,
Andi Kuhn, andi_qn
Andrea Schafarczyk, schafarczyk
Andreas Hepp, ahepp
Andreas Lützkendorf, aluetzkendorf
Andreas Sieler,
Anna Petrausch,
Annabell Brockhues, smalbroc
Annette Milz, anmilz
Annette Strelow, 
AppsFactory, appsfactorygmbh
ARD-Digitalboard, ard_digital
Astrid Csuraji, fraucsu
Astrid Csuraji, fraucsu
Atte Jääskeläinen, attesakari
Augstein Stiftung, steph_reuter
Benedikt Amara, benediktamara
Bernhard Scholz, BernRhs
Bertram Weiß, berweiss
Björn Staschen, bjoernsta
Björn Staschen, bjoernsta
Björn Staschen, bjoernsta
Boris Halva, 
Boxine Gmbh, 
BR AI and Automation Lab, br_ailab
BR AI and Automation Lab, br_ailab
BR AI and Automation Lab, br_ailab
BR Archive, br_presse
brand eins, brandeins
Buzzard, thebuzzardorg
Camille Halder, 
Carolyn Braun, 
Christian Heise, christianheise
Christian Heise, christianheise
Christian Schwägerl, chrschwaegerl
Christian Tipke, ctipke
Christian Tipke, ctipke
Christiane Hütter, 
Christina Elmer, chelm
Christina Elmer, chelm
Christina Elmer, chelm
Christine Elmer, chelm
Christine Memminger, 
Christoph Hüning, hueningc
Christopher Buschow, chrias
Civey, civey_de
Claudia Titze,
Claus Hesseling, the_claus
Correctiv, correctiv_org
Correctiv, correctiv_org
Correctiv, correctiv_org
Datenfreunde, datenfreunde
David Schraven, david_schraven
Dennis Leiffels, dleiffels
Dennis Leiffels, dleiffels
Dennis Miler,
Der Kontext, derkontext
Der Kontext, derkontext
Julia Körberlein, juliakoeberlein
Dette Hasenkamp,
Ellen Heinrichs, ellen_sch
Eva Schulz, evaschulz
Eva Wolfangel, evawolfangel
Eva Wolfangel, evawolfangel
Facebook, facebookapp
Felicia Reinstädt, bremenNEXT 
Felicia Reinstädt, bremenNEXT
Finn Dochhan
Florian Hager, hagertoni
Frank Plasberg, hartaberfair
Frank Schulte,
Freddy Radecke, 
Freischreiber, freischreiber
Friedrich Küppersbusch,
Georg Dahm, georgdahm
Grass Valley/Quantel, GrassValleyLive
Gülseren Ölcüm, oelcuem
Hamburg Media School, hhmediaschool
Hamburg Media School, hhmediaschool
Hamburg Media School, hhmediaschool
Hasso Plattner Institut, HPI_DE
Hasso Plattner Institut, HPI_DE
Helge Haas, helge_haas
Helge Haas, helge_haas
Hendrik Lehmann, plateauton
Hendrik Lehmann, plateauton
Hendrik Lehmann, plateauton
Herbert von Halem, halemverlag
Hubertus Koch, hubertuskoch
Hubertus Koch, hubertuskoch
Invisible Playground, invplayground
Isabelle Buckow, ibuckow
Jakob Vicari, vicari
Jakob Vicari, vicari
Jan Böhmermann, janboehm
Jan Georg Plavec, jangeorgplavec
Jan Georg Plavec, jangeorgplavec
Jan Georg Plavec, jangeorgplavec
Jan Weyrauch, janwe2009
Jannis Konrad, 
Jean-Luc Pignon, 
Jeff Jarvis, jeffjarvis
Jeff Jarvis, jeffjarvis
Jennifer Brandel, JenniferBrandel
Jennifer Brandel, JenniferBrandel
Jens Eber, eberjens
Jochen Grabler, jochengrabler
Jochen Wegner, jochenjochen
Joelle Ulrich,
Johanna Barnbeck, johannabarnbeck
Johannes Jäschke, 
John Mills, _johnmills
Jonathan Sachse, jsachse
Jot.con, jotcon19
Jot.con, jotcon19
Journalistic Pioneers, journalisticp
Jukka Niva, jukka_niva
Julia Körberlein, juliakoeberlein
Julia Lücke, 
Julia Rehkopf, juliarehkopf
Justus von Daniels, justus_vdaniels
Justus von Daniels, justus_vdaniels
Justus von daniels, justus_vdaniels
Kabel eins, kabeleins
Kai Vogtländer, oceankai
Karsten Binder, karstenbinder
Karsten Samland, schmarsten
Katharina Jakob, 
Katharina Wojczenko, frauwoj
Kevin Davis, kljdavis
Kevin Davis, kljdavis
Krautreporter, krautreporter
Krautreporter, krautreporter
Kristina Kaul, fraukaul
Kultur- und Kreativwirtschaft des Bundes, kreativ_bund
Kultur- und Kreativwirtschaft des Bundes, kreativ_bund
Lars Weisbrod, larsweisbrod
Lea Semen, leasemen
Lena-Maria Reers, dreigutegruende
Leo Ottinger, 
Leonie Sontheimer, l_sontheimer
Lina Kokaly, bremenzwei
Lina Kokaly, bremenzwei
Lina Kokaly, bremenzwei
Lina Kokaly, bremenzwei
Lina Kokaly, bremenzwei
Lina Timm, luisante
Lina Timm, luisante
Lukas Harlan, moodbird3000
Lutz Conneus, conneus
M5Stack, M5Stack
M5Stack, M5Stack
Malte Burkhardt, malteburkhardt
Marc Rath, rathmarc
Marcello Bonventre, m_bonventre
Marcello Bonventre, m_bonventre
Marcello Bonventre, m_bonventre
Marco Maas, themaastrix
Marco Maas, themaastrix
Marco Maas, themaastrix
Marco Maas, themaastrix
Marco Maas, themaastrix
Marcus Pfeil, marcuspfeil
Mareike Graepel, missfoot
Marie-Theres Mayer
Marie-Theres Mayer
Marieke Reimann, riemreim
Marion Franke, mizbabelsberg
Markus Beckedahl, netzpolitik
Martin Haferkorn, martinhaferkorn
Martin Wikelski, martinwikelski
Matt Rider, 
Maximilian Kamp, wummsss
Maximilian Kamp, wummsss
Maz&More, maz_and_more_tv
Media Innovation Studio, mis_uclan
Media Lab Bayern, medialabbayern
Media Lab Bayern, medialabbayern
Media Lab Bayern, medialabbayern
Medium Magazin, mediummagazin
Meinolf Ellers, meinolfellers
Melanie Stein, melltstone
Michael Steinbrecher, mi_steinbrecher
Michael Wollesky, 
Milena Schulte, 
Mindener Volksblatt, 
MIZ Babelsberg, mizbabelsberg
MIZ Babelsberg, mizbabelsberg
MIZ Babelsberg, mizbabelsberg
Nea Matzen, nea_matzen
Neele Jacobi, jacobineele
Netzwerk Klimajournalismus, klimajourno
Netzwerk Recherche, nrecherche
Next Media Accelerator, nma_vc
NextMedia.Hamburg, nextmediahh
Nic Newman, nicnewman
Nico Lumma, nico
Niddal Salah-Eldin, nisalahe
Nils Meinzer, nilsmeinzer
Nils Meinzer, nilsmeinzer
Nina Klass, ninaklass
nordmedia, nm_nordmedia
Opinary, opinary_de
OPnext-Netzwerk, OPnextDACH
Paro Paro, 
Particle, 
Particle, 
Perspective Daily, pdmedien
Philipp Schild, 
Philipp Schild
Prototype Fund Germany
Prototype Fund Germany
Prototypefund
Radio Bremen
Rainer Schmidt
Reporterforum
Richard Gingrass
